operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,100KB file,24.0,0.23432540893554688,0.004237599998305086,136564
encryption,2,100KB file,53.8,0.22933673858642578,0.003767999998672167,136564
encryption,3,100KB file,32.0,0.22929096221923828,0.0021168000021134503,136564
encryption,4,100KB file,26.7,0.22922992706298828,0.004450899999937974,136564
encryption,5,100KB file,25.0,0.22918415069580078,0.0016709000010450836,136564
encryption,6,100KB file,50.0,0.22913837432861328,0.0028152999984740745,136564
encryption,7,100KB file,54.3,0.22907733917236328,0.0017372000002069399,136564
encryption,8,100KB file,41.7,0.22901630401611328,0.0018727999995462596,136564
encryption,9,100KB file,44.0,0.22897052764892578,0.0017711000000417698,136564
encryption,10,100KB file,40.0,0.22892475128173828,0.003771499999857042,136564
encryption,11,100KB file,60.0,0.22887897491455078,0.001709399999526795,136564
encryption,12,100KB file,8.3,0.22881793975830078,0.004189600000245264,136564
decryption,1,100KB file,12.1,0.29390907287597656,0.0012079000007361174,102410
decryption,2,100KB file,56.0,0.29386329650878906,0.003269100001489278,102410
decryption,3,100KB file,20.0,0.2938098907470703,0.005516699999134289,102410
decryption,4,100KB file,33.3,0.2937946319580078,0.0035611999992397614,102410
decryption,5,100KB file,19.2,0.2937793731689453,0.004907300000922987,102410
decryption,6,100KB file,45.5,0.2937641143798828,0.00347920000058366,102410
decryption,7,100KB file,4.2,0.2937488555908203,0.0033465999986219686,102410
decryption,8,100KB file,12.5,0.2937335968017578,0.0037511999980779365,102410
decryption,9,100KB file,31.0,0.2937183380126953,0.0032957000003079884,102410
decryption,10,100KB file,73.1,0.2937030792236328,0.0043774000005214475,102410
decryption,11,100KB file,4.2,0.2936725616455078,0.0013050999987171963,102410
decryption,12,100KB file,7.7,0.2936573028564453,0.0019465000004856847,102410
